Date : 2022-03-23 23:43:06
Directory : /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts
Total : 138 files,  3368 codes, 4 comments, 644 blanks, all 4016 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        138 |      3,368 |          4 |        644 |      4,016 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/IPortal.cs                                  | C#       |         14 |          0 |          5 |         19 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/IRequiredCollectable.cs                     | C#       |          6 |          0 |          1 |          7 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/ISlidingTile.cs                             | C#       |          6 |          0 |          0 |          6 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/ISpawnPoint.cs                              | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/ISpecialTile.cs                             | C#       |         14 |          0 |          1 |         15 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/IStalkerEnemy.cs                            | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/ITeleportable.cs                            | C#       |          8 |          0 |          2 |         10 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/IVisualElement.cs                           | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/IWall.cs                                    | C#       |         10 |          0 |          1 |         11 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/IWaypoint.cs                                | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/IWaypointEnemy.cs                           | C#       |          9 |          0 |          1 |         10 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Interface/IWaypointsEnemySpawnPoint.cs                | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Player.cs                                             | C#       |         25 |          0 |          6 |         31 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Component/Portal.cs                                             | C#       |         49 |          0 |         11 |         60 |
